物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
基隆市中正區調和街星河繪電梯大樓三房,基隆市中正區調和街,電梯大樓,6.7年,58.66,3房(室)2廳2衛,3/14樓,"1,388 萬"
基隆市調和街星河繪電梯大樓景觀三房,基隆市中正區調和街,電梯大樓,6.7年,58.66,3房(室)2廳2衛,7/14樓,"1,388 萬"
基隆市中正區觀海街水美2戶打通+雙車位,基隆市中正區觀海街,電梯大樓,26.8年,71.61,4房(室)2廳1衛,12/16樓,"1,080 萬"
復興路精裝邊間二樓,基隆市中山區復興路,公寓,51.4年,24.76,3房(室)2廳2衛,2/4樓,575 萬
信義光溜溜3+1房毛胚屋,基隆市信義區東明路,公寓,47.3年,30.88,4房(室)2廳2衛,4/4樓,498 萬
登輝稀有1樓,基隆市中正區新豐街,公寓,28.9年,31.88,3房(室)2廳1衛,1/5樓,720 萬
百福漂亮雅致精美混搭3房,基隆市七堵區福三街,公寓,47.4年,25.28,3房(室)2廳1衛,4/4樓,788 萬
建德山莊完美中高樓層無敵景觀四改三房,基隆市安樂區安和一街,電梯大樓,29.3年,44.34,3房(室)2廳2衛,9/16樓,"1,298 萬"
武昌街商業店面辦公,基隆市中正區武昌街,公寓,40.3年,32.3,3房(室)2廳2衛,1/5樓,"1,488 萬"
安樂長庚商圈悅莊花園庭院別墅獨立車庫,基隆市安樂區樂利三街,透天厝,14.3年,79.43,4房(室)3廳3衛,B1~3/3樓,"2,480 萬"
近五堵交流道近七堵低樓層公寓三房,基隆市七堵區福一街,公寓,26.4年,34.3,3房(室)2廳2衛,3/5樓,"1,298 萬"
信義名人巷裝潢一樓四房即可溫馨入住汽機車可到,基隆市信義區東明路,公寓,35.4年,36.77,4房(室)2廳2衛,1/5樓,998 萬
基隆市安樂區樂利國家新城雅典美3房,基隆市安樂區樂利三街,公寓,43.9年,24.38,3房(室)2廳1衛,5/5樓,438 萬
基隆仁愛區三坑火車站旁電梯美3房,基隆市仁愛區南榮路,華廈,30.1年,25.84,3房(室)2廳2衛,2/8樓,850 萬
基隆市七堵區美蘆華廈景觀視野美雅寓3房2廳2衛,基隆市七堵區自強路,華廈,30.6年,41.89,3房(室)2廳2衛,10/10樓,898 萬
七堵區光鮮電梯四房美宅－稀有釋出要買要快,基隆市七堵區百七街,電梯大樓,34.2年,69.37,4房(室)2廳2衛,5/16樓,"2,180 萬"
七堵區光鮮電梯四房美宅－稀有釋出要買要快,基隆市七堵區百七街,電梯大樓,34.2年,69.37,4房(室)2廳2衛,5/16樓,"2,180 萬"
東信典雅屋.法院旁.2088公車直達台北市府站,基隆市信義區東信路,公寓,37.3年,34.14,3房(室)2廳2衛,5/5樓,538 萬
長庚天驕高層裝潢三房車位國道一號三號皆可到,基隆市安樂區樂利三街,電梯大樓,28.8年,54.67,3房(室)2廳2衛,16/20樓,"1,200 萬"
基隆市安樂區樹學院稀有庭院兩房車學區宅,基隆市安樂區武崙街,華廈,3.8年,37.53,2房(室)2廳1衛,1/4樓,"1,338 萬"
三房美寓免整理,基隆市七堵區東新街,公寓,36.0年,28.95,3房(室)2廳2衛,4/5樓,588 萬
安信-百福稀有公寓2F,基隆市七堵區福一街,公寓,47.4年,24.94,3房(室)1廳1衛,2/4樓,746 萬
悠活前區電梯尊爵戶 美式寧靜住宅近62快速道路,基隆市中正區調和街,透天厝,9.7年,116.85,3房(室)3廳4衛,1~4/4樓,"3,398 萬"
