鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路９９號五樓,10.03,商,,,1121025,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,120.99,2,2,2,有,有,10310000,95829,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPRNMLPJLHKGFBH18DA,56.65,2.13,3.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１７號九樓,11.58,商,,,1121001,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,135.33,2,2,2,有,有,12260000,99314,坡道平面,27.49,1550000,預售屋、或土地及建物分件登記案件；,RPRUMLRJLHKGFBH09DA,63.69,1.93,6.71,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０１號十六樓,14.58,商,,,1121016,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.76,3,2,2,有,有,14820000,96646,坡道平面,27.49,1650000,預售屋、或土地及建物分件登記案件；,RPPOMLNKQHKGFBH48DA,82.79,2.13,6.39,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０３號十六樓,10.94,商,,,1121014,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,129.21,2,2,2,有,有,11610000,99390,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPSUMLPJLHKGFBH98DA,62.28,1.75,4.19,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０５號十二樓,10.29,商,,,1121003,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,123.73,2,2,1,有,有,10910000,97776,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPRQMLQJLHKGFBH58DA,58.24,2.3,3.91,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１７號十樓,11.58,商,,,1121022,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,135.33,2,2,2,有,有,12230000,100890,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPTUMLRJLHKGFBH66DA,63.69,1.93,6.71,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１７號十三樓,11.58,商,,,1121005,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,135.33,2,2,2,有,有,12130000,97181,坡道平面,27.49,1650000,預售屋、或土地及建物分件登記案件；,RPPVMLRJLHKGFBH98DA,63.69,1.93,6.71,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路９９號二樓,10.03,商,,,1121002,土地1建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,120.99,2,2,2,有,有,10230000,93904,坡道平面,27.49,1450000,預售屋、或土地及建物分件登記案件；,RPOUMLMKLHKGFBH38DA,56.65,2.13,3.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０７號四樓,10.08,商,,,1121002,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,121.29,2,2,1,有,有,10080000,92004,坡道平面,27.49,1450000,預售屋、或土地及建物分件登記案件；,RPXNNLMKLHKGFBH68DA,55.95,2.13,4.79,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０１號十三樓,14.58,商,,,1121013,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.76,3,2,2,有,有,14580000,97087,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPVOMLNKQHKGFBH09DA,82.79,2.13,6.39,有,
