物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
極景首泰信義,台北市大安區信義路四段 首泰信義,住宅大樓,3.6年,建坪102.92,#NAME?,22/34樓,"20,900 萬"
專任附中高樓景觀,台北市大安區建國南路一段 郵政新村,住宅大樓,38.7年,建坪24.91,2房(室)2廳1衛,10/14樓,"3,088 萬"
大直捷運潛力透天,台北市中山區崇實路,透天厝,55.4年,建坪38.47,4房(室)2廳5衛(含加蓋1房(室)--廳1衛),1~4/4樓,"5,500 萬"
一層一戶亮辦公室,台北市內湖區瑞光路 台北登峰,辦公商業大樓,19.2年,建坪122.16,7房(室)1廳--衛,6/13樓,"7,780 萬"
稀有近捷運面寬店,台北市大安區和平東路二段,公寓,56.0年,建坪33.64,3房(室)2廳2衛(含加蓋--房(室)--廳2衛),1/4樓,"4,980 萬"
正馬路面寬金店,台北市萬華區貴陽街二段,店面,41.4年,建坪50.32,#NAME?,B1~1/6樓,"3,980 萬"
大華靜巷公園錄,台北市內湖區成功路五段 公園錄,住宅大樓,26.1年,建坪86.66,4房(室)2廳3衛,3~4/14樓,"6,280 萬"
麗湖美景裝潢高樓,台北市內湖區成功路五段 大氣天成,住宅大樓,15.6年,建坪85.72,3房(室)2廳2衛,8/11樓,"6,980 萬"
瑞安璽朵高樓美琚,台北市大安區瑞安街 璽朵瑞安大樓,華廈,10.4年,建坪13.38,1房(室)--廳1衛,7/7樓,"2,048 萬"
市場面寬三角窗,台北市信義區仁愛路四段,店面,45.7年,建坪32.25,--房(室)3廳1衛,1/6樓,"6,900 萬"
市場面寬三角窗,台北市信義區仁愛路四段,店面,45.7年,建坪32.25,--房(室)3廳1衛,1/6樓,"6,900 萬"
內湖國小文德店面,台北市內湖區內湖路二段,店面,43.9年,建坪28.88,1房(室)2廳1衛(含加蓋1房(室)1廳--衛),1/5樓,"3,588 萬"
高樓樹海電梯三房,台北市內湖區康寧路三段 康寧天籟,華廈,29.4年,建坪39.40,3房(室)2廳2衛,10/10樓,"2,780 萬"
捷運經貿公園三房,台北市南港區經貿二路 東方晶華,住宅大樓,17.1年,建坪52.17,3房(室)2廳2衛,11/12樓,"4,780 萬"
潤泰麗池絕美裝潢,台北市南港區經貿二路 東方麗池,華廈,17.1年,建坪103.53,3房(室)2廳2衛,4/9樓,"8,600 萬"
恆光街邊間金店,台北市文山區恆光街 山林軒華廈,店面,50.1年,建坪25.75,--房(室)5廳2衛(含加蓋--房(室)4廳1衛),1/4樓,"6,800 萬"
忠孝敦化稀有珍藏,台北市大安區忠孝東路四段,其他,52.8年,建坪28.10,#NAME?,B1~11/11樓,"3,988 萬"
大馬路旁金透天,台北市萬華區和平西路三段,透天厝,41.0年,建坪67.74,5房(室)6廳6衛,1~5/5樓,"5,480 萬"
大安捷運三角窗店,台北市大安區復興南路一段,店面,52.2年,建坪38.74,--房(室)4廳3衛(含加蓋--房(室)2廳2衛),1/5樓,"12,500 萬"
大安收租角窗小品,台北市大安區和平東路二段 大安范特西,辦公商業大樓,15.5年,建坪11.34,1房(室)1廳1衛,1/7樓,"2,150 萬"
威京三房景觀平車,台北市南港區南港路二段 威京尊龍II,住宅大樓,30.8年,建坪42.42,3房(室)2廳1衛,17/17樓,"2,880 萬"
天母極品兩房裝潢,台北市士林區芝玉路一段,公寓,40.9年,建坪20.62,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),2/5樓,"1,560 萬"
小資成家首選,台北市萬華區西園路二段,公寓,49.2年,建坪15.33,3房(室)1廳2衛(含加蓋1房(室)--廳1衛),5/5樓,688 萬
遠眺士北科公寓,台北市士林區通河西街二段,公寓,50.7年,建坪29.27,1房(室)3廳2衛(含加蓋1房(室)1廳1衛),4/4樓,"1,588 萬"
大戶美妍家好便宜,台北市中山區中山北路二段 美妍家,辦公商業大樓,20.2年,建坪23.84,4房(室)2廳2衛(含加蓋3房(室)--廳1衛),3/12樓,"2,980 萬"
後山埤捷運裝潢居,台北市南港區中坡南路 金富御碩,華廈,5.2年,建坪25.56,2房(室)2廳1衛,2/6樓,"2,988 萬"
松山捷運三房平車,台北市松山區民族東路 美麗華,華廈,43.8年,建坪53.63,3房(室)2廳2衛,2/7樓,"4,850 萬"
士林中正黃金三樓,台北市士林區中正路,公寓,53.2年,建坪25.54,2房(室)2廳2衛,3/4樓,"2,180 萬"
新鳳翔挑高獨戶,台北市內湖區文湖街 新鳳翔,辦公商業大樓,16.5年,建坪116.62,5房(室)2廳2.5衛(含加蓋1房(室)--廳--衛),3/7樓,"5,780 萬"
麗山精美學區宅,台北市內湖區內湖路三段 森之林,華廈,31.3年,建坪12.63,1房(室)1廳1衛,4/8樓,"1,158 萬"
26年稀雙拼華廈,台北市中山區建國北路一段,住宅大樓,26.2年,建坪42.62,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),8/12樓,"3,988 萬"
美日僑新美齊心岳,台北市士林區中山北路六段 新美齊心岳,住宅大樓,2.0年,建坪88.37,3房(室)2廳2.5衛,11/14樓,"8,588 萬"
天玉街美景兩房車,台北市士林區天玉街 蘭桂坊,住宅大樓,28.5年,建坪32.65,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),10~11/11樓,"2,988 萬"
翔譽高樓朝南景觀,台北市南港區興中路 翔譽之心,住宅大樓,13.0年,建坪27.89,1房(室)2廳1衛,21/25樓,"3,200 萬"
專任中山站美套房,台北市大同區寧夏路 寧夏大福將,套房,29.0年,建坪14.03,1房(室)1廳1衛,7/14樓,"1,168 萬"
文化邊間稀有二樓,台北市北投區中和街,公寓,48.5年,建坪34.30,3房(室)2廳2衛,2/4樓,"1,698 萬"
民生圓環旁靜巷宅,台北市松山區民生東路五段,公寓,50.3年,建坪31.01,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),4/4樓,"2,680 萬"
師大黃金2樓美寓,台北市大安區師大路,公寓,49.4年,建坪34.40,4房(室)2廳2衛(含加蓋1房(室)--廳1衛),2/4樓,"3,380 萬"
縱橫天廈四房坡車,台北市大安區四維路 縱橫天廈,住宅大樓,12.4年,建坪123.00,4房(室)2廳3衛,5/11樓,"13,900 萬"
政大溫馨綠意3房,台北市文山區政大二街 政大清境,華廈,22.4年,建坪41.38,3房(室)2廳2衛,5/7樓,"2,180 萬"
社子稀有舒適三房,台北市士林區延平北路六段,公寓,40.4年,建坪35.48,3房(室)2廳2衛,4/5樓,"1,750 萬"
社子稀有舒適三房,台北市士林區延平北路六段,公寓,40.4年,建坪35.48,3房(室)2廳2衛,4/5樓,"1,750 萬"
一層一戶靜巷三房,台北市信義區和平東路三段,公寓,44.6年,建坪28.96,3房(室)2廳1衛,4/5樓,"2,288 萬"
松菸大巨蛋旺店面,台北市大安區市民大道四段,店面,44.5年,建坪17.52,1房(室)1廳1衛(含加蓋1房(室)--廳1衛),1/5樓,"3,388 萬"
景美低樓捷心居,台北市文山區景華街,公寓,46.2年,建坪23.43,2房(室)2廳1衛,3/5樓,"1,780 萬"
北藝中心捷運兩房,台北市士林區劍潭路 北美館,住宅大樓,26.9年,建坪23.56,2房(室)1廳1衛,3/13樓,"2,680 萬"
天母捷運首購美妝,台北市士林區至誠路二段,公寓,43.3年,建坪33.75,3房(室)2廳2衛,5/5樓,"2,238 萬"
內湖漂亮花園三房,台北市內湖區環山路一段 台北花園城,公寓,45.7年,建坪28.38,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),4/4樓,"1,980 萬"
士東景觀三房車位,台北市士林區士東路 御賞,華廈,20.9年,建坪83.72,3房(室)2廳2衛,4/9樓,"6,000 萬"
