物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
近公館新大三房車,新北市永和區成功路一段 漢寶臺大苑,住宅大樓,3.0年,建坪56.39,3房(室)2廳2衛,8/11樓,"3,280 萬"
銀河水都三房平車,新北市永和區環河東路四段 銀河水都,住宅大樓,19.3年,建坪53.52,3房(室)2廳2衛,13/28樓,"3,488 萬"
107比住家便宜,新北市板橋區合安一路 合宜A2區,店面,10.7年,建坪40.68,--房(室)1廳1衛,1/24樓,"1,980 萬"
永安邊間電梯車位,新北市永和區中和路 永安讚,辦公商業大樓,26.5年,建坪42.48,4房(室)2廳2衛,11/14樓,"3,188 萬"
麗寶質感裝潢三房,新北市新莊區中正路 麗寶雙璽,住宅大樓,11.3年,建坪39.53,3房(室)2廳2衛,5/13樓,"2,498 萬"
綠中海孝親大別墅,新北市新店區安祥路 綠中海二期,透天厝,18.9年,建坪56.32,5房(室)4廳5衛(含加蓋2房(室)1廳2衛),1~3/3樓,"2,380 萬"
綠中海美裝潢景觀,新北市新店區安祥路 綠中海二期,透天厝,18.9年,建坪55.68,4房(室)2廳3衛(含加蓋--房(室)1廳--衛),1~3/3樓,"2,298 萬"
捷運鳳翔中庭峰景,新北市新莊區中正路 峰景鳳翔,辦公商業大樓,16.0年,建坪31.75,2房(室)2廳1衛,7/14樓,"1,988 萬"
碧潭有約美景套房,新北市新店區新店路 碧潭有約,住宅大樓,16.5年,建坪14.75,1房(室)2廳1衛(含加蓋1房(室)--廳--衛),19/19樓,"1,390 萬"
江翠邊間方正二樓,新北市板橋區縣民大道三段,公寓,40.1年,建坪27.21,3房(室)2廳2衛,2/5樓,"1,800 萬"
信義近鄰臻藏逸居,新北市深坑區北深路三段 信義線上,辦公商業大樓,16.1年,建坪55.59,3房(室)2廳2衛,10/16樓,"2,580 萬"
新店新都心三房讚,新北市新店區中正路 空間大賞,住宅大樓,26.2年,建坪36.60,3房(室)1廳1.5衛,6~7/13樓,"1,618 萬"
景安捷運方正兩房,新北市中和區景平路 華南名人巷,住宅大樓,28.1年,建坪22.36,2房(室)2廳1衛,15/16樓,"1,698 萬"
大溪地社區等改建,新北市新店區安民街,公寓,34.9年,建坪37.74,5房(室)2廳3衛(含加蓋1房(室)--廳--衛),5/5樓,"1,280 萬"
環河公園華廈三房,新北市板橋區南雅西路二段,華廈,33.8年,建坪38.90,3房(室)2廳2衛,2/5樓,"1,980 萬"
