價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"3,958",無,永安學區邊間四房,台北市中山區北安路,辦公商業大樓,35.3年,建坪41.36,主+陽36.26,4/7樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),知名學區、捷運站旁、三面採光,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站,"4,188萬"
"9,788",含車位價,皇御尊爵大器名邸,台北市南港區經貿二路,住宅大樓,12.9年,建坪124.27,主+陽60.18,6/14樓,#NAME?,近捷運站、全崗石外觀、戶數單純,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運SB11站(施工中),"9,788"
885,無,廣慈小金雞,台北市信義區中坡南路,辦公商業大樓,46.7年,建坪5.31,主5.31,1/4樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),低總價 有增建空間,永慶房屋近捷運廣慈/奉天宮站(施工中)近捷運後山埤站,985萬
"22,880",含車位價1520萬元,水綠清翫客製八樓,台北市中山區北安路,住宅大樓,6.6年,建坪156.34,主+陽65.43,8/17樓,4房(室)2廳5衛,現成裝潢、拎包入住、吉田建築,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"22,880"
"23,725",含車位價1520萬元,水綠清翫拾捌號戶,台北市中山區北安路,住宅大樓,6.6年,建坪156.34,主+陽65.43,16/17樓,--房(室)2廳5衛,全毛胚屋、鋼骨建築、傳家美邸,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"23,725"
"23,822",含車位價1520萬元,水綠清翫拾陸號戶,台北市中山區北安路,住宅大樓,6.6年,建坪156.79,主+陽65.62,16/17樓,--房(室)2廳5衛,全毛胚屋、鋼骨建築、傳家美邸,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"23,822"
"7,288",無,泰順庭院採光豪邸,台北市大安區泰順街,公寓,38.5年,建坪69.11,主+平41.83,B1~1/5樓,5房(室)4廳2衛(含加蓋2房(室)2廳1衛),近台電大樓捷運站,永慶房屋近捷運台電大樓站,"8,990萬"
"5,758",含車位價,捷運高樓遠景四房,台北市內湖區文德路,華廈,19.5年,建坪63.85,主+陽40.55,9/10樓,4房(室)2廳3衛,次高樓獨戶通風採光佳,永慶房屋廁所有窗房間都有窗近捷運文德站近捷運內湖站,"5,988萬"
"2,988",含車位價,文德遠景兩房車位,台北市內湖區文德路,華廈,19.5年,建坪31.92,主+陽20.28,9/10樓,2房(室)1廳1衛,一層兩戶，邊間三面採光,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"3,200萬"
"2,750",無,摩斯樓上萬大線,台北市萬華區青年路,住宅大樓,38.6年,建坪40.23,主+陽31.47,9/12樓,4房(室)2廳2衛,巷內小學和買菜4站公車和平醫院,永慶房屋近捷運廈安站(施工中)近捷運加蚋站(施工中),"3,100萬"
"4,418",含車位價250萬元,中正國中精美兩房,台北市中正區和平西路一段,住宅大樓,6.5年,建坪28.97,主+陽14.54,9/14樓,2房(室)1廳1衛,兩房帶車位步行古亭站1分鐘,永慶房屋廁所有窗房間都有窗近捷運古亭站,"4,418"
"5,488",無,港墘店面優質首選,台北市內湖區港墘路,店面,47.3年,建坪26.99,主+平26.99,1/5樓,1房(室)1廳--衛,人潮車潮黃金店面收租效益高,永慶房屋正面大馬路出租中近捷運港墘站近捷運Y32站(施工中),"6,500萬"
"6,980",無,正737連鎖店面,台北市內湖區內湖路一段,店面,46.5年,建坪22.74,主+平22.74,1/4樓,--房(室)1廳1衛,737巷人潮眾多，生活機能完整,永慶房屋出租中近捷運港墘站近捷運文德站,"7,500萬"
"8,800",含車位價,碧湖美景管理大廈,台北市內湖區內湖路二段,住宅大樓,42.9年,建坪94.97,主+陽77.95,10/12樓,4房(室)2廳3衛,外觀氣派大戶面碧湖美景,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運港墘站,"8,800"
"7,588",含車位價,遠眺天際雲端豪邸,台北市內湖區內湖路三段,住宅大樓,8.4年,建坪78.11,主+陽37.11,15/19樓,3房(室)2廳2衛,邊間 高樓遠景 101景觀,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運內湖站,"7,588"
"9,900",含車位價,敦南凱悅豪邸坡車,台北市大安區敦化南路二段,住宅大樓,39.9年,建坪84.80,主+陽57.07,13/26樓,3房(室)3廳3衛,敦化南路燙金門牌帶坡平車位,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"12,000萬"
"8,000",無,錦西路旁大土地,台北市大同區錦西街,公寓,65.4年,建坪16.41,主16.41,1/1樓,2房(室)2廳2衛(含加蓋1房(室)--廳1衛),可三代同堂有大花園,永慶房屋房間都有窗近捷運L001站(規劃中)近捷運大橋頭站,"9,000萬"
"6,600",含車位價,樹海景觀中正學區,台北市大安區和平東路一段,辦公商業大樓,37.2年,建坪63.82,主+陽47.59,5/12樓,4房(室)2廳2衛,和平大苑旁管理美妝大空間車位,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"7,200萬"
"6,880",無,中正國中電梯美宅,台北市中正區仁愛路二段,華廈,41.6年,建坪57.56,主+陽+露45.62,5~6/6樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),近東門捷運站中正紀念堂靜巷住家,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運東門站,"6,880"
"3,780",無,濟南新生靜巷頂家,台北市大安區濟南路三段,公寓,57.4年,建坪33.27,主+陽33.28,5/5樓,5房(室)2廳3衛(含加蓋1房(室)--廳1衛),捷運站旁雙拼方正大空間,永慶房屋有天然瓦斯房間都有窗近捷運忠孝新生站,"4,380萬"
"9,688",含車位價,大吉吉高樓雙露台,台北市中山區民生東路二段,住宅大樓,3.8年,建坪98.58,主+陽53.97,11/13樓,--房(室)1廳3衛,高樓遠景，近捷運全聯生活機能優,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運行天宮站近捷運SB03站(規劃中),"10,500萬"
"2,380",無,世貿置產收租最愛,台北市信義區吳興街,公寓,47.3年,建坪27.48,主+陽27.48,5/5樓,7房(室)--廳7衛(含加蓋2房(室)--廳2衛),全新裝潢 近北醫租客穩定,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運麟光站,"2,680萬"
"2,480",無,公園旁美妝三房,台北市信義區大道路,公寓,41.7年,建坪30.12,主+陽30.12,4/5樓,3房(室)2廳2衛,近捷運近公園，正面馬路,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"2,600萬"
"4,100",含車位價,三井南軟金店霸,台北市南港區重陽路,店面,16.7年,建坪38.92,主+陽18.67,1/7樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),近捷運、南港軟體園區商圈,永慶房屋有天然瓦斯正面大馬路近捷運南港軟體園區站近捷運東湖站,"4,600萬"
"6,688",含車位價250萬元,新潤雙主臥四房車,台北市北投區磺港路,住宅大樓,11.3年,建坪80.26,主+陽44.13,12/14樓,4房(室)2廳3衛,社區稀有高樓景觀釋出,永慶房屋有天然瓦斯房間都有窗近捷運奇岩站近捷運北投站,"8,088萬"
"3,680",無,德安碧湖寬敞店面,台北市內湖區金龍路,店面,46.2年,建坪21.70,主+平21.69,1/5樓,#NAME?,面寬6米以上、20米大馬路旁,永慶房屋正面大馬路近捷運內湖站,"3,680"
"3,568",含車位價,忠泰雲端美居,台北市中山區林森北路,住宅大樓,11.9年,建坪28.70,主13.17,21/24樓,1房(室)1廳1衛,忠泰建設 超高樓層  飯店物管,永慶房屋房間都有窗近捷運SB02站(規劃中)近捷運雙連站,"3,568"
"7,768",含車位價,超高遠景日月星辰,台北市中山區林森北路,住宅大樓,11.9年,建坪61.59,主+陽33.97,21/24樓,3房(室)2廳2衛,忠泰建設超高樓稀有景觀戶,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運SB02站(規劃中)近捷運雙連站,"7,768"
"5,500",無,新生金華庭院車庫,台北市大安區永康街,公寓,49.2年,建坪39.06,主32.82,B1~1/4樓,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),"新生國小金華國中,靜巷採光佳",永慶房屋有天然瓦斯房間都有窗近捷運東門站,"5,680萬"
"2,698",含車位價220萬元,忠孝界次高美妝,台北市信義區中坡南路,華廈,11.9年,建坪25.87,主+陽12.97,6/7樓,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),近板南捷運 生活機能佳 有景觀,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"2,698"
"2,698",含車位價220萬元,忠孝界次高美妝,台北市信義區中坡南路,華廈,11.9年,建坪25.87,主+陽12.97,6/7樓,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),近板南捷運 生活機能佳 有景觀,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"2,698"
"11,000",含車位價,瑞光百坪電梯別墅,台北市內湖區瑞光路,透天厝,17.7年,建坪163.02,主+陽116.96,B1~4/4樓,7房(室)2廳7衛(含加蓋2房(室)--廳1衛),空間大、有電梯。車庫型車位,永慶房屋有天然瓦斯房間都有窗近捷運Y33站(施工中),"13,000萬"
