價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"2,780",含車位價,VICTOR精品,台北市內湖區金莊路,辦公商業大樓,13.7年,建坪49.80,主+陽24.17,7/11樓,1房(室)2廳1.5衛,音同[家裡]享受生活無限美好,永慶房屋新上,"2,780"
"2,380",無,低總敦南實小金店,台北市大安區臥龍街,店面,53.3年,建坪11.34,主11.34,1/4樓,1房(室)2廳1衛(含加蓋1房(室)1廳1衛),大安區黃金小店面,永慶房屋正面大馬路近捷運科技大樓站近捷運六張犁站,"2,480萬"
"5,688",含車位價,世紀之光邊間美辦,台北市內湖區瑞湖街,辦公商業大樓,17.6年,建坪140.25,主68.83,4/5樓,10房(室)--廳--衛,精緻美辦低公設玻璃帷幕氣派門廳,永慶房屋近捷運Y33站(施工中)近捷運Y34站(施工中),"5,688"
"6,978",含車位價,天母鋼骨景觀雙車,台北市士林區天母北路,住宅大樓,5.3年,建坪75.76,主+陽30.95,11/24樓,3房(室)2廳2衛,聯上建設天母最新力作鋼骨制震佳,永慶房屋有天然瓦斯房間都有窗,"6,978"
"17,500",含車位價,明日博極景美高樓,台北市大安區市民大道三段,住宅大樓,9.8年,建坪113.24,主+陽64.22,22/23樓,3房(室)2廳3衛,高樓極景，俯瞰城市，稀有次高豪,永慶房屋有天然瓦斯房間都有窗近捷運忠孝新生站,"17,500"
"3,980",含車位價,獨棟華廈樓中樓,台北市萬華區萬大路,華廈,22.9年,建坪53.23,主+陽31.67,6~7/7樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),一層一戶，近未來捷運加蚋站,永慶房屋有天然瓦斯房間都有窗近捷運加蚋站(施工中)近捷運廈安站(施工中),"4,180萬"
"3,400",無,世貿101景住辦,台北市信義區基隆路二段,住宅大樓,45.4年,建坪40.58,主+陽34.18,12/12樓,4房(室)2廳2衛,近世貿管理四房,永慶房屋有天然瓦斯房間都有窗近捷運台北101/世貿站近捷運信義安和站,"3,980萬"
"5,900",含車位價,溫泉花園庭院豪邸,台北市北投區溫泉路,華廈,17.8年,建坪85.01,主+陽41.12,1/7樓,3房(室)3廳5衛(含加蓋2房(室)1廳2衛),前庭後院,永慶房屋有天然瓦斯房間都有窗近捷運新北投站,"6,988萬"
"1,899",無,京站首選邊間三房,台北市大同區市民大道一段,住宅大樓,16.2年,建坪39.51,主+陽27.14,9/18樓,3房(室)2廳2衛,京站邊間三房免整理直接使用,永慶房屋新上近捷運台北車站,"1,899"
"6,980",無,敦化北路林蔭辦公,台北市松山區敦化北路,辦公商業大樓,55.3年,建坪62.69,主54.12,5/12樓,3房(室)1廳1衛,近小巨蛋捷運 正敦化北路,永慶房屋新上近捷運台北小巨蛋站近捷運SB05站(規劃中),"6,980"
"3,400",含車位價,站前美景兩房車位,台北市南港區東明街,華廈,16.1年,建坪34.24,主+陽18.43,8/9樓,2房(室)2廳1衛(含加蓋--房(室)1廳--衛),交通便利，一巷住宅，離塵不離城,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港站,"3,400"
